antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({1397, 502, 495})","frozenset({512, 0})",0.56644,0.75308,0.43188,0.7624461549325612,1.0124371314237015,0.005305364799999934,1.0394275029726514
"frozenset({512, 0})","frozenset({1397, 502, 495})",0.75308,0.56644,0.43188,0.5734848887236416,1.0124371314237015,0.005305364799999934,1.016517325031133
"frozenset({512, 495})","frozenset({0, 1397, 502})",0.5769,0.7715,0.43188,0.7486219448777951,0.9703460076186586,-0.01319834999999997,0.9089894497310717
"frozenset({512, 1397})","frozenset({0, 502, 495})",0.72968,0.5841,0.43188,0.5918758908014472,1.0133126019541983,0.005673912000000003,1.0190527602417732
"frozenset({512, 502})","frozenset({0, 1397, 495})",0.58932,0.71756,0.43188,0.7328446344939931,1.021300845217115,0.009007540800000047,1.0572125304878048
"frozenset({0, 495})","frozenset({512, 1397, 502})",0.73918,0.56972,0.43188,0.5842690548986715,1.0255372023075748,0.01075437039999999,1.0349963241132445
"frozenset({0, 1397})","frozenset({512, 502, 495})",0.96968,0.4465,0.43188,0.4453840442207739,0.9975006589491016,-0.0010821200000000197,0.9979878765340277
"frozenset({0, 502})","frozenset({512, 1397, 495})",0.797,0.55896,0.43188,0.5418820577164366,0.9694469330836493,-0.013611120000000032,0.9627215162138474
"frozenset({1397, 495})","frozenset({512, 0, 502})",0.71756,0.58932,0.43188,0.6018730141033503,1.021300845217115,0.009007540800000047,1.0315301764211706
"frozenset({502, 495})","frozenset({512, 0, 1397})",0.5841,0.72968,0.43188,0.7393939393939394,1.0133126019541983,0.005673912000000003,1.0372744186046512
"frozenset({1397, 502})","frozenset({512, 0, 495})",0.7715,0.5769,0.43188,0.5597926117952041,0.9703460076186586,-0.01319834999999997,0.9611378894058065
frozenset({512}),"frozenset({0, 1397, 502, 495})",0.75308,0.56644,0.43188,0.5734848887236416,1.0124371314237015,0.005305364799999934,1.016517325031133
frozenset({0}),"frozenset({512, 1397, 502, 495})",1.0,0.43188,0.43188,0.43188,1.0,0.0,1.0
frozenset({495}),"frozenset({512, 0, 1397, 502})",0.73918,0.56972,0.43188,0.5842690548986715,1.0255372023075748,0.01075437039999999,1.0349963241132445
frozenset({1397}),"frozenset({512, 0, 502, 495})",0.96968,0.4465,0.43188,0.4453840442207739,0.9975006589491016,-0.0010821200000000197,0.9979878765340277
frozenset({502}),"frozenset({512, 0, 1397, 495})",0.797,0.55896,0.43188,0.5418820577164366,0.9694469330836493,-0.013611120000000032,0.9627215162138474
frozenset({0}),frozenset({1357}),1.0,0.73888,0.73888,0.73888,1.0,0.0,1.0
frozenset({1357}),frozenset({0}),0.73888,1.0,0.73888,1.0,1.0,0.0,inf
frozenset({1357}),frozenset({1397}),0.73888,0.96968,0.73822,0.9991067561715028,1.0303468733721464,0.021742841600000062,33.94369939393871
frozenset({1397}),frozenset({1357}),0.96968,0.73888,0.73822,0.7613026977972115,1.0303468733721464,0.021742841600000062,1.0939377931392036
frozenset({1357}),frozenset({502}),0.73888,0.797,0.58056,0.7857297531398874,0.985859163287186,-0.008327360000000006,0.9474017180394134
frozenset({502}),frozenset({1357}),0.797,0.73888,0.58056,0.728431618569636,0.985859163287186,-0.008327360000000006,0.9615257808168541
frozenset({1357}),frozenset({495}),0.73888,0.73918,0.549,0.7430164573408403,1.0051901530626375,0.0028346816000001107,1.0149288055614079
frozenset({495}),frozenset({1357}),0.73918,0.73888,0.549,0.7427149002949215,1.0051901530626375,0.0028346816000001107,1.0149052560731942
frozenset({512}),frozenset({1357}),0.75308,0.73888,0.56616,0.7517926382323259,1.0174759612282454,0.009724249600000068,1.0520235908410014
